nama_tempat,rating_tempat,user_ratings_total,latitude,longitude,alamat_tempat,place_id,distance
warteg bu yanti,4.8,12,-6.245361,106.8274283,"jl. mampang prapatan iv, rt.5/rw.5, mampang prpt., kota jakarta selatan",ChIJnUe14trzaS4RXKiE7Rit_eo,0
warteg latifah,4.5,87,-6.2479931,106.8283968,"jl. mampang prapatan viii, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ3ROwC9DzaS4Rtjta9p9Pkrk,0
warteg putri barokah,5,3,-6.2466874,106.8289468,"jl. mampang prapatan vi, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJSalwt9rzaS4Rebe67f7j1XE,0
warteg bahari,4.4,5,-6.2436783,106.8259957,"jl. mampang prapatan ii, rt.1/rw.5, mampang prpt., kota jakarta selatan",ChIJgeVMl9vzaS4RYj_nLr2mHlI,0
wahyoo warteg bahari tegal,4.2,33,-6.245285,106.832002,"jl. mampang prpt. raya no.50, rt.6/rw.2, tegal parang, jakarta",ChIJYRJm8HDzaS4R2dbsP7HAQQY,0
warteg bahari kharisma,4.4,41,-6.243481099999999,106.8290251,"jl. mampang prapatan ii no.74, rt.11/rw.5, mampang prpt., kota jakarta selatan",ChIJf6QHT9vzaS4RCFGlBe2Zi_M,0
warteg yana,5,2,-6.2466969,106.8259189,"jl. mampang prpt. raya no.70 d, rt.9/rw.3, tegal parang, kota jakarta selatan",ChIJiTxjb9rzaS4REM1n7VAkszE,0
warteg sri rejeki,4.5,45,-6.246705,106.829133,"jl. mampang prpt. raya no.17, rt.8/rw.2, tegal parang, kota jakarta selatan",ChIJ8_93t9rzaS4RG7EsXgnOoYc,0
warteg khasanah,4.7,9,-6.2481751,106.8258505,"jl. mampang prapatan vii no.28, rt.8/rw.008, tegal parang, kota jakarta selatan",ChIJ1Wwwm9DzaS4R6U2I1ns6Ld0,0
warteg mini,0,0,-6.2434274,106.824083,"gg. h. mujimi no.60, rt.7/rw.6, mampang prpt., kota jakarta selatan",ChIJbxGTLxLzaS4RrhRkakxv8SE,0
warteg ibu ayu,5,1,-6.246930499999999,106.8266109,"jl. mampang prapatan iv, rt.1/rw.2, tegal parang, kota jakarta selatan",ChIJgTMZYtrzaS4RpvpzQQO7z0g,0
warteg bahari h. abdul ghani,4.7,3,-6.2465945,106.823206,"6, jl. kh. marzuki ishaq no.7, rt.6/rw.3, tegal parang, kota jakarta selatan",ChIJNyjub13zaS4RphNs0TCmKW8,0
warteg mampang,5,3,-6.2481457,106.8276962,"jl. mampang prapatan viii no.14, rt.1/rw.2, tegal parang, kota jakarta selatan",ChIJFRdfcE3zaS4RRO1B9GXY9Zo,0
warteg latifah,3.9,61,-6.245214499999999,106.8308268,"jl. mampang prapatan iv, rt.15/rw.4, mampang prpt., kota jakarta selatan",ChIJTXvhJ8XzaS4RHQma6XlEioI,0
warteg sederhana ayu,5,1,-6.2470232,106.8263803,"81,, jl. mampang prapatan v no.6, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJ7RORY9rzaS4RGhNui566lJs,0
warteg ridho illahi,4.4,45,-6.2500741,106.8300023,"jl. mampang prapatan xi no.9, rt.9/rw.1, tegal parang, kota jakarta selatan",ChIJxyyO08_zaS4RWyx7hIsTw7M,0
warteg putera bahari,3,2,-6.2479064,106.8312331,"jl. mampang prapatan viii no.60a, rt.5/rw.1, kuningan, tegal parang, kota jakarta selatan",ChIJkajNQOrzaS4RJvBD1npMCx8,0
"warteg bu nani, gang jati bawah.",2.5,2,-6.2418962,106.8228196,"gg. jati no.10, rt.11/rw.1, mampang prpt., kota jakarta selatan",ChIJSQNofAXzaS4R1p_FsjsamKs,0
warteg alfar,0,0,-6.2422301,106.8322901,"jl. tegal parang sel., rt.2/rw.4, mampang prpt., kota jakarta selatan",ChIJQ1BJecPzaS4R0CFExOnZawU,0
warteg jayabahari,4.1,41,-6.2484527,106.8227321,"jl. pd. jaya raya no.2, rt.9/rw.6, pela mampang, kota jakarta selatan",ChIJCxIlW9fzaS4RnOInyy0Jgpc,0
warteg jaya bahari,3.8,71,-6.2429118,106.8324035,"jl. tegal parang utara no.8, rw.4, mampang prapatan, south jakarta city",ChIJLxmzydXzaS4RwXUdsDypiro,0
warteg latifah,0,0,-6.2451993,106.8306441,"jl. bank raya ii no.4 no. 63, rt.7/rw.007, tegal parang, kota jakarta selatan",ChIJ-aZRIYfxaS4R1wkywsKq54M,0
wahyoo warteg jayanti,4,3,-6.2501412,106.8271454,"jl. mampang prapatan x, rt.7/rw.1, tegal parang, kota jakarta selatan",ChIJZc_IU9DzaS4RAbDezGu8eNU,0
warteg buncit iv,4.4,16,-6.2480077,106.8321559,"jl. tegal parang selatan i no.3a, rt.2/rw.4, tegal parang, kota jakarta selatan",ChIJsTilthjzaS4RGCWgA7NcDMM,0
warteg mamoka,0,0,-6.245688599999999,106.8250272,"jl. mampang prapatan v no.9, rt.9/rw.3, tegal parang, kuningan",ChIJi8d6J9rzaS4RznC9omTiSAE,0
warteg mini,5,5,-6.2443728,106.8323338,"jl. tegal parang utara no.37b, rt.7/rw.4, mampang prpt., kota jakarta selatan",ChIJlaMX98TzaS4R6jRYgeneZuc,0
warteg bumus,0,0,-6.2455877,106.8252816,"9, jl. mampang prapatan v no.30a, rt.9/rw.6, mampang prpt., kuningan",ChIJm9ktxWjzaS4RVhQ1gjPMZ6Y,0
warteg kharisma bahari,4.2,99,-6.2403191,106.8292345,"jl. mp. prapatan gg. iv, rt.2/rw.2, tegal parang, kota jakarta selatan",ChIJJ5S9HgLzaS4RHz4FCQd7O2s,0
warteg nusantara milenia cab mampang,4.6,9,-6.2417576,106.8254539,"jl. mampang prpt. raya no.42-10, rt.6/rw.1, mampang prpt., kota jakarta selatan",ChIJIWWHcYPzaS4Ryt8jshzJn5c,0
warteg mustika jaya,4.6,11,-6.2456551,106.8260996,"jl. mampang prpt. raya no.23, rt.1/rw.6, mampang prpt., kota jakarta selatan",ChIJ3eP0txbzaS4Rkduao24PYxI,0
warung tegal gang jati,4.3,99,-6.2407048,106.8228452,"jl. kapten tendean no.3, rt.3/rw.1, mampang prpt., kota jakarta selatan",ChIJlXecid7zaS4Rdu0nQTlr-3g,0
warteg darmo,5,2,-6.251923499999999,106.8212596,"jl. bangka, rt.10/rw.10, pela mampang, kota jakarta selatan",ChIJBQWMmNbzaS4RcczX4-mhAxo,0
